Country_Code,Name,Capacity_Mw,Latitude,Longitude
ARG,CRUZ DE PIEDRA,17.94,-33.0349,-68.7971
ARG,CRUZ DEL EJE,5.052,-30.7636,-64.7538
ARG,CT 13 DE JULIO,26.0,-32.1613,-64.1537
ARG,CT ALEM,15.0,-43.0907,-65.2298
ARG,CT ALUMINE,6.3,-38.8706,-70.5753
ARG,CT ARISTOBULO DEL VALLE,15.0,-27.0922,-54.8625
ARG,CT ARRECIFES,20.0,-34.0414,-60.1297
ARG,CT AÑATUYA,19.2,-28.4431,-62.8569
ARG,CT AÑATUYA II,11.5,-28.4431,-62.8569
ARG,CT BARILOCHE,20.0,-41.1497,-71.2633
ARG,CT BELL VILLE,15.62,-32.6103,-62.6864
ARG,CT BRAGADO,49.8,-35.1364,-60.4311
ARG,CT CAPITAN SARMIENTO,5.0,-34.1636,-59.7683
ARG,CT CATAMARCA,19.2,-28.4706,-65.7647
ARG,CT CAVIAHUE,5.0,-38.0528,-70.6136
ARG,CT CERES,18.0,-29.8883,-61.9297
ARG,CT CHARATA,19.4,-27.2369,-61.1939
ARG,CT CHILECITO,10.0,-29.1581,-67.5072
ARG,CT CIPOLLETTI,5.0,-38.9133,-67.9414
ARG,CT COLON BUENOS AIRES,15.3,-33.9222,-61.0769
ARG,CT CONCEPCION DEL URUGUAY,41.78,-32.4767,-58.2672
ARG,CT CORRIENTES,20.0,-27.4708,-58.8042
ARG,CT ECOENERGIA (PETROBRAS),13.2,-38.6871,-62.3961
ARG,CT ENSENADA DE BARRAGAN,567.0,-34.8597,-57.9557
ARG,CT ESQUINA,16.5,-30.055,-59.5294
ARG,CT FORMOSA II,30.0,-26.1764,-58.2094
ARG,CT GENERAL VILLEGAS,23.49,-35.0347,-62.9981
ARG,CT GOYA,13.0,-29.1583,-59.2728
ARG,CT INDEPENDENCIA,120.0,-26.8666,-65.2247
ARG,CT INGENIERO JUAREZ,4.0,-23.9078,-61.8342
ARG,CT INTA CATAMARCA,7.04,-28.4733,-65.7275
ARG,CT ISLA VERDE,24.5,-33.2425,-62.395
ARG,CT JUAN JOSE CASTELLI,15.0,-25.9564,-60.6204
ARG,CT JUNIN,22.0,-34.5708,-60.9161
ARG,CT LA PLATA,40.4,-34.9344,-58.016
ARG,CT LA RIOJA DELIVERY,19.2,-29.3811,-66.8325
ARG,CT LA RIOJA SUR,10.0,-29.3808,-66.8319
ARG,CT LAGUNA BLANCA,7.0,-25.1286,-58.2597
ARG,CT LAS ARMAS,10.4,-37.0781,-57.8181
ARG,CT LAS ARMAS II,23.37,-37.0781,-57.8181
ARG,CT LAS PALMAS,6.0,-27.0289,-58.6997
ARG,CT LIBERTADOR GENERAL SAN MARTIN,15.0,-40.8421,-68.0869
ARG,CT LINCOLN,15.002,-34.8578,-61.5206
ARG,CT LOBOS,15.686,-35.1917,-59.0808
ARG,CT MAGDALENA,25.0,-35.1001,-57.4839
ARG,CT MATHEU,41.0,-34.3931,-58.8372
ARG,CT MEDANITOS (RINCON DE LOS SAUCES),32.0,-37.4102,-68.9
ARG,CT MIRAMAR I,20.0,-38.2472,-57.8242
ARG,CT OLAVARRIA,38.8,-36.9439,-60.2361
ARG,CT ORAN,15.0,-23.1258,-64.3069
ARG,CT PARANA,40.0,-31.7764,-60.4553
ARG,CT PARQUE INDUSTRIAL CATAMARCA,15.0,-28.5339,-65.7997
ARG,CT PASO DE LA PATRIA,7.2,-27.3236,-58.5667
ARG,CT PEHUAJO,22.4,-35.8336,-61.8758
ARG,CT PINAMAR,21.0,-37.0953,-56.8789
ARG,CT PIRANE,16.25,-25.6786,-59.0756
ARG,CT PLUSPETROL NORTE,246.0,-26.9955,-65.166
ARG,CT RAFAELA,19.2,-31.2567,-61.5203
ARG,CT REALICO,24.0,-35.055,-64.2406
ARG,CT ROCA,130.0,-31.8919,-60.0106
ARG,CT SAENZ PEÑA  I,20.0,-26.8156,-60.4114
ARG,CT SAENZ PEÑA  II,15.0,-26.8153,-60.4125
ARG,CT SALTO,22.5,-27.4597,-65.6055
ARG,CT SAN MARTIN NORTE III,5.1000000000000005,-34.5252,-58.6206
ARG,CT SAN MIGUEL DE TUCUMAN,396.62,-26.9955,-65.166
ARG,CT SAN MIGUEL NORTE III,11.5,-34.5252,-58.6206
ARG,CT SANTA ROSA,6.0,-28.2628,-58.0006
ARG,CT TARTAGAL,10.0,-22.5406,-63.8056
ARG,CT TEREVINTOS,8.0,-28.4289,-65.7878
ARG,CT TINOGASTA,15.0,-28.0486,-67.5667
ARG,CT TUCUMAN,438.0,-26.9955,-65.166
ARG,CT VENADO TUERTO,19.2,-33.7736,-61.9564
ARG,CT VIALE,10.0,-31.8919,-60.0106
ARG,CT VILLA ANGELA,15.0,-27.5808,-60.7094
ARG,CT VILLA REGINA,5.0,-39.0872,-67.0881
ARG,CUESTA DEL VIENTO,10.55,-30.1833,-69.0667
ARG,Cafayate,80.0,-26.04,-65.93
ARG,Caldenes del Oeste,30.0,-33.61,-65.445
ARG,Cauchari,300.0,-23.8,-66.8
ARG,DEAN FUNES,70.12,-31.3934,-64.2059
ARG,DIQUE,68.44,-34.8902,-57.933
ARG,DOCK SUD,872.3,-34.6533,-58.342
