Country_Code,Energy_Type_Code,Year,Energy_Consumption,Energy_Intensity_Per_Capita,Energy_Intensity_By_Gdp,Co2_Emission
BDI,1,1980,0.0,0.3834601135230038,0.0,
BDI,2,1980,0.0,0.3834601135230038,0.0,
BDI,4,1980,0.0014403147233691,0.3834601135230038,0.0,
BDI,3,1980,,0.3834601135230038,0.0,0.0
BDI,5,1980,0.00015384400658,0.3834601135230038,0.0,0.0
CPV,1,1980,0.0,14.424415403538726,0.0,
CPV,2,1980,0.0,14.424415403538726,0.0,
CPV,4,1980,0.0040943414634636,14.424415403538726,0.0,
CPV,3,1980,,14.424415403538726,0.0,0.0
CPV,5,1980,0.0,14.424415403538726,0.0,0.0
KHM,1,1980,0.0,0.6743066544378645,0.0,
KHM,2,1980,0.0,0.6743066544378645,0.0,
KHM,4,1980,0.00400463475,0.6743066544378645,0.0,
KHM,3,1980,,0.6743066544378645,0.0,0.0
KHM,5,1980,0.00050901216121,0.6743066544378645,0.0,0.0
CMR,1,1980,0.0,5.461137287841615,0.0,
CMR,2,1980,0.0,5.461137287841615,0.0,
CMR,4,1980,0.0330588991832705,5.461137287841615,0.0,
CMR,3,1980,,5.461137287841615,0.0,0.0
CMR,5,1980,0.0140238044415,5.461137287841615,0.0,0.0
CAN,1,1980,0.7855888916715152,389.5048717355744,13.761615931141566,
CAN,2,1980,1.915011,389.5048717355744,13.761615931141566,
CAN,4,1980,3.896123436,389.5048717355744,13.761615931141566,
CAN,3,1980,0.41592096,389.5048717355744,13.761615931141566,0.0
CAN,5,1980,2.536320821092719,389.5048717355744,13.761615931141566,0.0
CYM,1,1980,0.0,87.0312023845837,0.0,
CYM,2,1980,0.0,87.0312023845837,0.0,
CYM,4,1980,0.0014105146970469,87.0312023845837,0.0,
CYM,3,1980,,87.0312023845837,0.0,0.0
CYM,5,1980,0.0,87.0312023845837,0.0,0.0
CAF,1,1980,0.0,1.2478670717727358,0.0,
CAF,2,1980,0.0,1.2478670717727358,0.0,
CAF,4,1980,0.002058900705834,1.2478670717727358,0.0,
CAF,3,1980,,1.2478670717727358,0.0,0.0
CAF,5,1980,0.00068560821714,1.2478670717727358,0.0,0.0
TCD,1,1980,0.0,0.9130566929564023,0.0,
TCD,2,1980,0.0,0.9130566929564023,0.0,
TCD,4,1980,0.0041219305263831,0.9130566929564023,0.0,
TCD,3,1980,,0.9130566929564023,0.0,0.0
TCD,5,1980,0.0,0.9130566929564023,0.0,0.0
CHL,1,1980,0.0335034796674114,37.5976282214312,5.262762878067456,
CHL,2,1980,0.085,37.5976282214312,5.262762878067456,
CHL,4,1980,0.227151678,37.5976282214312,5.262762878067456,
CHL,3,1980,,37.5976282214312,5.262762878067456,0.0
CHL,5,1980,0.0815290941844898,37.5976282214312,5.262762878067456,0.0
CHN,1,1980,13.809654129851072,19.07067241988801,27.90929304087108,
CHN,2,1980,0.581255,19.07067241988801,27.90929304087108,
CHN,4,1980,4.124019020610326,19.07067241988801,27.90929304087108,
CHN,3,1980,,19.07067241988801,27.90929304087108,0.0
CHN,5,1980,0.5923599604728004,19.07067241988801,27.90929304087108,0.0
COL,1,1980,0.0904260336318622,25.185429634136074,0.0,
COL,2,1980,0.1188,25.185429634136074,0.0,
COL,4,1980,0.3190302430042767,25.185429634136074,0.0,
COL,3,1980,,25.185429634136074,0.0,0.0
COL,5,1980,0.1492443732369384,25.185429634136074,0.0,0.0
COM,1,1980,0.0,2.123727861488739,0.0,
COM,2,1980,0.0,2.123727861488739,0.0,
COM,4,1980,0.0006329732647499,2.123727861488739,0.0,
COM,3,1980,,2.123727861488739,0.0,0.0
COM,5,1980,2.077600658e-05,2.123727861488739,0.0,0.0
COG,1,1980,0.0,6.387950466683311,0.0,
COG,2,1980,0.0004188,6.387950466683311,0.0,
COG,4,1980,0.0098862324475202,6.387950466683311,0.0,
COG,3,1980,,6.387950466683311,0.0,0.0
COG,5,1980,0.00105229632571,6.387950466683311,0.0,0.0
COD,1,1980,0.0035960267575167,3.3988523506587893,0.0,
COD,2,1980,0.0,3.3988523506587893,0.0,
COD,4,1980,0.0401798858134843,3.3988523506587893,0.0,
COD,3,1980,,3.3988523506587893,0.0,0.0
COD,5,1980,0.0458140966547787,3.3988523506587893,0.0,0.0
COK,1,1980,0.0,0.0,0.0,
COK,2,1980,0.0,0.0,0.0,
COK,4,1980,0.0004188260000189,0.0,0.0,
COK,3,1980,,0.0,0.0,0.0
COK,5,1980,0.0,0.0,0.0,0.0
CRI,1,1980,0.0,23.06893424221884,0.0,
CRI,2,1980,0.0,23.06893424221884,0.0,
CRI,4,1980,0.0333400298684557,23.06893424221884,0.0,
CRI,3,1980,,23.06893424221884,0.0,0.0
CRI,5,1980,0.02179403090242,23.06893424221884,0.0,0.0
HRV,1,1980,,,,
HRV,2,1980,,,,
HRV,4,1980,,,,
HRV,3,1980,,,,0.0
HRV,5,1980,,,,0.0
CUB,1,1980,0.0024428156065444,46.2117507710489,0.0,
CUB,2,1980,0.0006282,46.2117507710489,0.0,
CUB,4,1980,0.4402558877935458,46.2117507710489,0.0,
CUB,3,1980,,46.2117507710489,0.0,0.0
CUB,5,1980,0.0118338873493249,46.2117507710489,0.0,0.0
CYP,1,1980,0.0,82.98296792164649,0.0,
CYP,2,1980,0.0,82.98296792164649,0.0,
CYP,4,1980,0.0425121744662595,82.98296792164649,0.0,
CYP,3,1980,,82.98296792164649,0.0,0.0
CYP,5,1980,0.0,82.98296792164649,0.0,0.0
CZE,1,1980,,,,
CZE,2,1980,,,,
CZE,4,1980,,,,
CZE,3,1980,,,,0.0
CZE,5,1980,,,,0.0
CIV,1,1980,0.0,9.101691861762736,0.0,
CIV,2,1980,0.0,9.101691861762736,0.0,
CIV,4,1980,0.0591479424002002,9.101691861762736,0.0,
CIV,3,1980,,9.101691861762736,0.0,0.0
CIV,5,1980,0.01397186442505,9.101691861762736,0.0,0.0
DNK,1,1980,0.2318155390331792,167.1043364451312,5.656236699834547,
DNK,2,1980,0.0,167.1043364451312,5.656236699834547,
DNK,4,1980,0.6248169,167.1043364451312,5.656236699834547,
DNK,3,1980,,167.1043364451312,5.656236699834547,0.0
DNK,5,1980,-0.000511805253932,167.1043364451312,5.656236699834547,0.0
DJI,1,1980,0.0,60.31640665675238,0.0,
DJI,2,1980,0.0,60.31640665675238,0.0,
DJI,4,1980,0.0216511773335078,60.31640665675238,0.0,
DJI,3,1980,,60.31640665675238,0.0,0.0
DJI,5,1980,0.0,60.31640665675238,0.0,0.0
DMA,1,1980,0.0,6.681714216459492,0.0,
DMA,2,1980,0.0,6.681714216459492,0.0,
DMA,4,1980,0.0004097613217452,6.681714216459492,0.0,
DMA,3,1980,,6.681714216459492,0.0,0.0
DMA,5,1980,9.349202961e-05,6.681714216459492,0.0,0.0
DOM,1,1980,0.0,14.862950170815097,0.0,
DOM,2,1980,0.0,14.862950170815097,0.0,
DOM,4,1980,0.0795528722595588,14.862950170815097,0.0,
DOM,3,1980,,14.862950170815097,0.0,0.0
DOM,5,1980,0.00671065012534,14.862950170815097,0.0,0.0
ECU,1,1980,0.0,23.24001505218598,0.0,
ECU,2,1980,0.0039,23.24001505218598,0.0,
ECU,4,1980,0.1726036405660032,23.24001505218598,0.0,
ECU,3,1980,,23.24001505218598,0.0,0.0
ECU,5,1980,0.00916502288862,23.24001505218598,0.0,0.0
EGY,1,1980,0.0225487518235054,16.48751516002625,0.0,
EGY,2,1980,0.03141,16.48751516002625,0.0,
EGY,4,1980,0.5598349511217329,16.48751516002625,0.0,
EGY,3,1980,,16.48751516002625,0.0,0.0
EGY,5,1980,0.1002657398718544,16.48751516002625,0.0,0.0
SLV,1,1980,0.0,9.843130675396,0.0,
SLV,2,1980,0.0,9.843130675396,0.0,
SLV,4,1980,0.0291624034612608,9.843130675396,0.0,
SLV,3,1980,,9.843130675396,0.0,0.0
SLV,5,1980,0.01602868907647,9.843130675396,0.0,0.0
GNQ,1,1980,0.0,3.410018951550628,0.0,
GNQ,2,1980,0.0,3.410018951550628,0.0,
GNQ,4,1980,0.00083149344,3.410018951550628,0.0,
GNQ,3,1980,,3.410018951550628,0.0,0.0
GNQ,5,1980,2.077600658e-05,3.410018951550628,0.0,0.0
ERI,1,1980,,,,
ERI,2,1980,,,,
ERI,4,1980,,,,
ERI,3,1980,,,,0.0
ERI,5,1980,,,,0.0
EST,1,1980,,,,
EST,2,1980,,,,
EST,4,1980,,,,
EST,3,1980,,,,0.0
EST,5,1980,,,,0.0
SWZ,1,1980,0.0041435294070871,16.183045526574496,0.0,
SWZ,2,1980,0.0,16.183045526574496,0.0,
SWZ,4,1980,0.0040608178572607,16.183045526574496,0.0,
SWZ,3,1980,,16.183045526574496,0.0,0.0
SWZ,5,1980,0.00130888841454,16.183045526574496,0.0,0.0
ETH,1,1980,0.0,0.8575455072891608,0.0,
ETH,2,1980,0.0,0.8575455072891608,0.0,
ETH,4,1980,0.0252220813973335,0.8575455072891608,0.0,
ETH,3,1980,,0.8575455072891608,0.0,0.0
ETH,5,1980,0.00491352555617,0.8575455072891608,0.0,0.0
FLK,1,1980,0.0,0.0,0.0,
FLK,2,1980,0.0,0.0,0.0,
FLK,4,1980,0.0001769367312602,0.0,0.0,
FLK,3,1980,,0.0,0.0,0.0
FLK,5,1980,0.0,0.0,0.0,0.0
FRO,1,1980,0.0,0.0,0.0,
FRO,2,1980,0.0,0.0,0.0,
FRO,4,1980,0.0,0.0,0.0,
FRO,3,1980,,0.0,0.0,0.0
FRO,5,1980,0.00050901216121,0.0,0.0,0.0
FJI,1,1980,0.0003871558482717,23.786931067333757,0.0,
FJI,2,1980,0.0,23.786931067333757,0.0,
FJI,4,1980,0.0147249669019782,23.786931067333757,0.0,
FJI,3,1980,,23.786931067333757,0.0,0.0
FJI,5,1980,0.0,23.786931067333757,0.0,0.0
