Country_Code,Name,Gppd_Idnr,Capacity_Mw,Latitude,Longitude
ARG,CT AÑATUYA,ARG0000333,19.2,-28.4431,-62.8569
ARG,CT AÑATUYA II,ARG0000334,11.5,-28.4431,-62.8569
ARG,CT BARILOCHE,ARG0000273,20.0,-41.1497,-71.2633
ARG,CT BELL VILLE,ARG0000113,15.62,-32.6103,-62.6864
ARG,CT BRAGADO,ARG0000023,49.8,-35.1364,-60.4311
ARG,CT CAPITAN SARMIENTO,ARG0000028,5.0,-34.1636,-59.7683
ARG,CT CATAMARCA,ARG0000054,19.2,-28.4706,-65.7647
ARG,CT CAVIAHUE,ARG0000257,5.0,-38.0528,-70.6136
ARG,CT CERES,ARG0000314,18.0,-29.8883,-61.9297
ARG,CT CHARATA,ARG0000065,19.4,-27.2369,-61.1939
ARG,CT CHILECITO,ARG0000189,10.0,-29.1581,-67.5072
ARG,CT CIPOLLETTI,ARG0000260,5.0,-38.9133,-67.9414
ARG,CT COLON BUENOS AIRES,ARG0000039,15.3,-33.9222,-61.0769
ARG,CT CONCEPCION DEL URUGUAY,ARG0000147,41.78,-32.4767,-58.2672
ARG,CT CORRIENTES,ARG0000114,20.0,-27.4708,-58.8042
ARG,CT ECOENERGIA (PETROBRAS),ARG0000032,13.2,-38.6871,-62.3961
ARG,CT ENSENADA DE BARRAGAN,ARG0000160,567.0,-34.8597,-57.9557
ARG,CT ESQUINA,ARG0000139,16.5,-30.055,-59.5294
ARG,CT FORMOSA II,ARG0000149,30.0,-26.1764,-58.2094
ARG,CT GENERAL VILLEGAS,ARG0000004,23.49,-35.0347,-62.9981
ARG,CT GOYA,ARG0000138,13.0,-29.1583,-59.2728
ARG,CT INDEPENDENCIA,ARG0000336,120.0,-26.8666,-65.2247
ARG,CT INGENIERO JUAREZ,ARG0000152,4.0,-23.9078,-61.8342
ARG,CT INTA CATAMARCA,ARG0000055,7.04,-28.4733,-65.7275
ARG,CT ISLA VERDE,ARG0000083,24.5,-33.2425,-62.395
ARG,CT JUAN JOSE CASTELLI,ARG0000059,15.0,-25.9564,-60.6204
ARG,CT JUNIN,ARG0000035,22.0,-34.5708,-60.9161
ARG,CT LA PLATA,ARG0000040,40.4,-34.9344,-58.016
ARG,CT LA RIOJA DELIVERY,ARG0000190,19.2,-29.3811,-66.8325
ARG,CT LA RIOJA SUR,ARG0000191,10.0,-29.3808,-66.8319
ARG,CT LAGUNA BLANCA,ARG0000153,7.0,-25.1286,-58.2597
ARG,CT LAS ARMAS,ARG0000024,10.4,-37.0781,-57.8181
ARG,CT LAS ARMAS II,ARG0000025,23.37,-37.0781,-57.8181
ARG,CT LAS PALMAS,ARG0000066,6.0,-27.0289,-58.6997
ARG,CT LIBERTADOR GENERAL SAN MARTIN,ARG0000170,15.0,-40.8421,-68.0869
ARG,CT LINCOLN,ARG0000036,15.002,-34.8578,-61.5206
ARG,CT LOBOS,ARG0000041,15.686,-35.1917,-59.0808
ARG,CT MAGDALENA,ARG0000005,25.0,-35.1001,-57.4839
ARG,CT MATHEU,ARG0000163,41.0,-34.3931,-58.8372
ARG,CT MEDANITOS (RINCON DE LOS SAUCES),ARG0000258,32.0,-37.4102,-68.9
ARG,CT MIRAMAR I,ARG0000022,20.0,-38.2472,-57.8242
ARG,CT OLAVARRIA,ARG0000026,38.8,-36.9439,-60.2361
ARG,CT ORAN,ARG0000286,15.0,-23.1258,-64.3069
ARG,CT PARANA,ARG0000148,40.0,-31.7764,-60.4553
ARG,CT PARQUE INDUSTRIAL CATAMARCA,ARG0000056,15.0,-28.5339,-65.7997
ARG,CT PASO DE LA PATRIA,ARG0000141,7.2,-27.3236,-58.5667
ARG,CT PEHUAJO,ARG0000037,22.4,-35.8336,-61.8758
ARG,CT PINAMAR,ARG0000027,21.0,-37.0953,-56.8789
ARG,CT PIRANE,ARG0000154,16.25,-25.6786,-59.0756
ARG,CT PLUSPETROL NORTE,ARG0000337,246.0,-26.9955,-65.166
ARG,CT RAFAELA,ARG0000315,19.2,-31.2567,-61.5203
ARG,CT REALICO,ARG0000184,24.0,-35.055,-64.2406
ARG,CT ROCA,ARG0000262,130.0,-31.8919,-60.0106
ARG,CT SAENZ PEÑA  I,ARG0000062,20.0,-26.8156,-60.4114
ARG,CT SAENZ PEÑA  II,ARG0000060,15.0,-26.8153,-60.4125
ARG,CT SALTO,ARG0000038,22.5,-27.4597,-65.6055
ARG,CT SAN MARTIN NORTE III,ARG0000161,5.1000000000000005,-34.5252,-58.6206
ARG,CT SAN MIGUEL DE TUCUMAN,ARG0000341,396.62,-26.9955,-65.166
ARG,CT SAN MIGUEL NORTE III,ARG0000162,11.5,-34.5252,-58.6206
ARG,CT SANTA ROSA,ARG0000142,6.0,-28.2628,-58.0006
ARG,CT TARTAGAL,ARG0000288,10.0,-22.5406,-63.8056
