,Code,Fuel
535,PHL,Gas
536,PHL,Geothermal
537,PHL,Oil
538,PHL,Wind
539,PHL,Biomass
540,,
541,POL,Coal
542,POL,Hydro
543,POL,Gas
544,POL,Oil
545,POL,Biomass
546,POL,Wind
547,POL,Solar
548,PRT,Wind
549,PRT,Solar
550,PRT,Waste
551,PRT,Hydro
552,PRT,Biomass
553,PRT,Gas
554,PRT,Coal
555,PRT,Geothermal
556,,
557,QAT,Gas
558,,
559,ROU,Solar
560,ROU,Hydro
561,ROU,Coal
562,ROU,Nuclear
563,ROU,Wind
564,ROU,Gas
565,RUS,Solar
566,RUS,Gas
567,RUS,Hydro
568,RUS,Coal
569,RUS,Nuclear
570,RUS,Biomass
571,RUS,Oil
572,RUS,Other
573,RUS,Geothermal
574,RUS,Wind
575,RWA,Waste
576,RWA,Oil
577,RWA,Gas
578,RWA,Hydro
579,RWA,Solar
580,,
581,,
582,LCA,Solar
583,,
584,,
585,,
586,,
587,,
588,SAU,Gas
589,SAU,Oil
590,SAU,Solar
591,SEN,Oil
592,SEN,Solar
593,SEN,Hydro
594,SRB,Hydro
595,SRB,Coal
596,,
597,SLE,Oil
598,SLE,Hydro
599,SGP,Gas
600,SGP,Waste
601,SGP,Oil
602,SVK,Solar
603,SVK,Nuclear
604,SVK,Hydro
605,SVK,Gas
606,SVK,Coal
607,SVN,Gas
608,SVN,Coal
609,SVN,Hydro
610,SVN,Nuclear
611,,
612,,
613,ZAF,Gas
614,ZAF,Solar
615,ZAF,Wind
616,ZAF,Oil
617,ZAF,Coal
618,ZAF,Hydro
619,ZAF,Waste
620,ZAF,Biomass
621,ZAF,Nuclear
622,,
623,,
624,ESP,Coal
625,ESP,Gas
626,ESP,Waste
627,ESP,Wind
628,ESP,Biomass
629,ESP,Hydro
630,ESP,Solar
631,ESP,Oil
632,ESP,Nuclear
633,LKA,Wind
634,LKA,Oil
635,LKA,Hydro
636,LKA,Solar
637,LKA,Coal
638,SDN,Oil
639,SDN,Gas
640,SDN,Hydro
641,SDN,Biomass
642,SUR,Solar
643,,
644,SWZ,Hydro
645,SWZ,Biomass
646,SWE,Hydro
647,SWE,Biomass
648,SWE,Wind
649,SWE,Nuclear
650,SWE,Gas
651,SWE,Oil
652,SWE,Coal
653,CHE,Hydro
654,CHE,Solar
655,CHE,Nuclear
656,SYR,Gas
657,SYR,Oil
658,SYR,Hydro
